,testingvalues,predictedvalues
0,25.43333333,22.725033333999995
1,25.63083333,24.878249998999998
2,22.37333333,22.960166664999996
3,26.50666667,26.6575
4,22.18916667,21.978083333000004
5,22.81083333,22.877499999999998
6,25.30083333,25.080249999
7,26.84,26.235700001000005
8,24.55,23.465083335000003
9,23.77666667,24.252916667999997
10,23.03466667,23.096916668
11,23.95,23.133600001
12,22.291999999999998,22.237266667
13,23.80333333,24.105416666
14,23.24833333,24.211666666999996
15,23.37,22.6215
16,22.20333333,22.171133332
17,23.8625,25.376250001000002
18,22.354,22.316849999000002
19,24.945999999999998,25.550199999000007
20,27.20533333,27.374100002
21,23.68166667,23.238083335000006
22,22.85916667,23.533500001999997
23,21.89666667,21.925466666000002
24,22.62666667,23.171166665999998
25,24.42416667,24.363750001000003
26,22.355999999999998,22.340933335
27,22.268,24.844533333
28,25.47083333,26.100633334
29,26.8,25.941283331
30,22.15083333,22.478850000999998
31,23.34833333,24.341833331000004
32,22.976,22.823100000999997
33,25.39333333,25.431249998999995
34,23.75833333,22.89825
35,26.19916667,26.494833334
36,23.61666667,23.954916667
37,23.29083333,23.087050001
38,22.5,22.474583332999995
39,23.40083333,23.363500001
40,22.315,22.443166666000003
41,22.92666667,22.789183331999997
42,23.4775,23.531500001
43,26.47666667,26.524550001
44,25.07,24.783299999
45,25.50266667,27.95613333
46,22.45666667,22.960166664999996
47,23.37916667,23.362416668
48,26.1325,27.036533333
49,23.53166667,23.844250001
50,25.42916667,25.491916664999998
51,24.83166667,24.459166667
52,21.98466667,22.037333331000003
53,26.34333333,26.576416667
54,24.62916667,24.676666664
55,22.95466667,22.972533331
56,27.025,27.336733331000005
57,24.8625,24.933749999
58,26.0675,26.014583333
59,22.475,22.464333330999995
60,23.55333333,25.406216668
61,23.9175,25.132166665
62,27.044,27.008949999
63,23.32416667,23.188900001999997
64,22.58933333,22.482666665999993
65,24.89166667,25.197416666
66,24.49166667,24.43295
67,20.80533333,20.835600000000003
68,22.53333333,22.7549
69,24.4225,24.256999999999998
70,23.1525,23.504999999
71,23.6625,23.592999997
72,23.365,22.313500000000005
73,25.59166667,25.452666667000003
74,26.40333333,27.393899998000002
75,26.75666667,27.620216667
76,24.92833333,24.70675
77,26.64083333,27.280933335000004
