,testingvalues,predictedvalues
0,25.43333333,23.03541667
1,25.63083333,23.542916665
2,22.37333333,23.26333333
3,26.50666667,25.44166667
4,22.18916667,22.25
5,22.81083333,22.86333333
6,25.30083333,25.78041667
7,26.84,23.86583333
8,24.55,23.09041667
9,23.77666667,23.276249999999997
10,23.03466667,22.741
11,23.95,23.215000000000003
12,22.291999999999998,22.215666665
13,23.80333333,24.51125
14,23.24833333,23.276249999999997
15,23.37,22.799166665
16,22.20333333,22.252499999999998
17,23.8625,24.369999999999997
18,22.354,22.317166665000002
19,24.945999999999998,24.72333333
20,27.20533333,26.871916669999997
21,23.68166667,23.088333335
22,22.85916667,22.73083333
23,21.89666667,22.006999999999998
24,22.62666667,23.415
25,24.42416667,24.419583335
26,22.355999999999998,22.318333335
27,22.268,22.05733333
28,25.47083333,26.2
29,26.8,27.069916665
30,22.15083333,22.23166667
31,23.34833333,23.31333333
32,22.976,22.741
33,25.39333333,25.43416667
34,23.75833333,23.322916665
35,26.19916667,27.115416670000002
36,23.61666667,23.78833333
37,23.29083333,23.341666664999998
38,22.5,22.480416665
39,23.40083333,23.341666664999998
40,22.315,22.440416665
41,22.92666667,22.86333333
42,23.4775,23.0175
43,26.47666667,26.367333334999998
44,25.07,24.96583333
45,25.50266667,26.10416667
46,22.45666667,23.26333333
47,23.37916667,23.35416667
48,26.1325,26.57
49,23.53166667,22.829
50,25.42916667,25.43416667
51,24.83166667,22.01066667
52,21.98466667,22.061666665
53,26.34333333,26.367333334999998
54,24.62916667,24.621666665
55,22.95466667,22.918000000000003
56,27.025,27.47083333
57,24.8625,24.96583333
58,26.0675,26.166249999999998
59,22.475,22.440416665
60,23.55333333,22.05733333
61,23.9175,23.86583333
62,27.044,26.868
63,23.32416667,23.276249999999997
64,22.58933333,22.533749999999998
65,24.89166667,25.257
66,24.49166667,24.419583335
67,20.80533333,20.837
68,22.53333333,22.741
69,24.4225,24.244333335
70,23.1525,23.053333334999998
71,23.6625,23.979166665
72,23.365,22.611666665
73,25.59166667,25.819166664999997
74,26.40333333,26.868
75,26.75666667,27.21791667
76,24.92833333,23.542916665
77,26.64083333,28.18166667
