,testingvalues,predictedvalues
0,25.43333333,22.836483333999997
1,25.63083333,23.571700002
2,22.37333333,22.753999999999998
3,26.50666667,26.706083334000006
4,22.18916667,21.985433331000003
5,22.81083333,22.906833331999998
6,25.30083333,25.344983332
7,26.84,25.287033334000007
8,24.55,23.534500003
9,23.77666667,23.953083334000002
10,23.03466667,23.566083336000002
11,23.95,23.470799999
12,22.292,22.289400001000004
13,23.80333333,23.792666666
14,23.24833333,23.570083335
15,23.37,22.657083333000003
16,22.20333333,22.235083331000002
17,23.8625,25.249833336000002
18,22.354,22.301449999000006
19,24.946,24.913666666
20,27.20533333,27.306383335
21,23.68166667,23.505583336
22,22.85916667,23.363333332
23,21.89666667,21.932600001
24,22.62666667,23.115999998999996
25,24.42416667,24.400750001
26,22.356,22.352200002000004
27,22.268,24.996816666
28,25.47083333,25.399016667
29,26.8,26.097883332000002
30,22.15083333,22.497166667
31,23.34833333,23.778499999
32,22.976,23.025083334
33,25.39333333,25.222916667
34,23.75833333,22.956416667000003
35,26.19916667,26.302066667000002
36,23.61666667,23.797833332
37,23.29083333,23.231133334
38,22.5,22.490566667
39,23.40083333,23.360666668
40,22.315,22.564583331999998
41,22.92666667,22.744299999
42,23.4775,23.549916666999998
43,26.47666667,26.579283333
44,25.07,25.154249998
45,25.50266667,26.620149998
46,22.45666667,22.830666666
47,23.37916667,23.360583336
48,26.1325,27.218150002000005
49,23.53166667,23.672749999
50,25.42916667,25.227166666
51,24.83166667,23.682433335000002
52,21.98466667,22.153666664
53,26.34333333,26.603649999000005
54,24.62916667,24.596083332
55,22.95466667,22.886466666000004
56,27.025,27.343
57,24.8625,24.8782
58,26.0675,25.995749997999997
59,22.475,22.588999997999995
60,23.55333333,25.161383334
61,23.9175,24.380833332999998
62,27.044,26.895766666000007
63,23.32416667,23.545500001
64,22.58933333,22.491800001
65,24.89166667,25.138866666
66,24.49166667,24.503416667000003
67,20.80533333,20.838266669
68,22.53333333,22.778216664999995
69,24.4225,24.321333335
70,23.1525,23.052166667
71,23.6625,23.653583332
72,23.365,22.296933333000002
73,25.59166667,25.485666666999997
74,26.40333333,27.026433334
75,26.75666667,27.157233333
76,24.92833333,23.568033335000003
77,26.64083333,27.206683334999997
