,testingvalues,predicted
0,29.33,26.934011459350586
1,21.013,21.014455795288086
2,19.37833333,21.175378799438477
3,18.71875,21.132551193237305
4,24.89958333,24.999927520751953
5,15.45541667,15.47240924835205
6,23.91125,25.101396560668945
7,21.935,22.27570343017578
8,25.883000000000006,24.932600021362305
9,23.2975,23.514820098876953
10,20.21083333,20.84007453918457
11,19.605,17.7995548248291
12,23.85533333,23.77557945251465
13,22.02416667,23.020875930786133
14,15.33958333,15.176032066345215
15,23.21708333,24.298357009887695
16,21.52133333,22.19293785095215
17,16.87125,19.365676879882812
18,24.11666667,24.443683624267578
19,20.73566667,21.893369674682617
20,21.58708333,22.88899803161621
21,23.64433333,24.582857131958008
22,22.87333333,24.38939094543457
23,27.50916667,26.972965240478516
24,20.62208333,21.134214401245117
25,23.59208333,24.35551643371582
26,17.49666667,20.275739669799805
27,20.86433333,22.691038131713867
28,21.01041667,21.235572814941406
29,15.7725,15.384861946105957
30,15.99375,18.683565139770508
31,28.578000000000007,27.53830909729004
32,23.94633333,25.248994827270508
33,20.791,22.077800750732422
34,16.87291667,19.95797348022461
35,23.96916667,23.723268508911133
36,21.39458333,21.725854873657227
37,19.01625,21.784887313842773
38,21.814,21.623672485351562
39,22.67291667,23.448688507080078
40,16.93291667,20.60894775390625
41,25.04166667,24.536705017089844
42,25.10666667,24.98941993713379
43,16.41708333,17.012054443359375
44,22.545,23.210796356201172
45,17.29416667,15.363646507263184
46,18.57791667,21.753942489624023
47,24.31208333,24.52332878112793
48,28.8325,26.440523147583008
49,25.50133333,25.138671875
50,18.33458333,18.914472579956055
51,19.405,20.518125534057617
52,26.99533333,27.22189712524414
53,22.24466667,22.675806045532227
54,26.03541667,26.038969039916992
55,20.99333333,21.812271118164062
56,18.429,17.7216854095459
57,24.01958333,23.690603256225586
58,22.45533333,23.201635360717773
59,15.97,15.753722190856934
60,16.33541667,17.453092575073242
61,17.43458333,18.687015533447266
62,27.86041667,26.086687088012695
63,18.48233333,19.415430068969727
64,21.7825,22.217910766601562
65,15.05333333,18.502519607543945
66,21.56416667,21.050495147705078
67,16.44583333,17.792438507080078
68,23.93375,24.189599990844727
69,21.92066667,23.365812301635742
70,16.67708333,18.065427780151367
71,20.7875,23.228050231933594
72,20.44916667,21.25147819519043
73,22.473000000000006,23.69957160949707
74,22.77133333,23.771224975585938
75,21.39133333,23.270158767700195
76,25.7315,25.026765823364258
77,14.52458333,14.87624454498291
78,17.38625,19.428380966186523
79,25.28791667,24.24791145324707
80,18.14208333,18.183378219604492
81,20.63666667,21.57634162902832
82,18.32,21.2802791595459
83,25.56666667,23.869487762451172
84,17.767,19.617799758911133
85,16.81375,20.27511978149414
86,24.37666667,24.139896392822266
87,18.8425,17.84446144104004
88,18.25416667,17.442659378051758
89,24.58125,23.681833267211914
90,25.6175,25.8078556060791
