,testingvalues,predictedvalues
0,25.43333333,22.861233332999998
1,25.63083333,24.234716668
2,22.37333333,22.624033332
3,26.50666667,26.036933332999997
4,22.18916667,21.49633333
5,22.81083333,22.853166664999996
6,25.30083333,24.737999999000003
7,26.84,24.806616664999996
8,24.55,23.428416669
9,23.77666667,23.604500000999998
10,23.03466667,23.003800002000002
11,23.95,23.907133332
12,22.292,22.347533335
13,23.80333333,23.984916666
14,23.24833333,23.604000002
15,23.37,22.406366666000004
16,22.20333333,22.696166666000003
17,23.8625,24.743050000999997
18,22.354,22.363449999
19,24.946,24.949650003
20,27.20533333,27.078533336
21,23.68166667,23.265166669999996
22,22.85916667,23.750999999999998
23,21.89666667,22.003466666
24,22.62666667,23.521583333000002
25,24.42416667,24.341583335000003
26,22.356,22.381133335000005
27,22.268,25.615333333000002
28,25.47083333,25.324916666999997
29,26.8,25.788916667000002
30,22.15083333,22.376166667000003
31,23.34833333,23.330333330000006
32,22.976,22.859266667000004
33,25.39333333,24.891083333
34,23.75833333,23.056249998999995
35,26.19916667,26.059150001999996
36,23.61666667,24.1025
37,23.29083333,23.352083333000003
38,22.5,22.512483334000002
39,23.40083333,23.419500002000003
40,22.315,22.335350000000005
41,22.92666667,22.833149999000003
42,23.4775,23.726166665999997
43,26.47666667,25.958216668999995
44,25.07,25.050749998
45,25.50266667,27.678233332
46,22.45666667,22.624033332
47,23.37916667,23.344666669000002
48,26.1325,27.263816669
49,23.53166667,23.754916666
50,25.42916667,25.378733333999996
51,24.83166667,24.724300000000003
52,21.98466667,22.059066666
53,26.34333333,26.046333333999996
54,24.62916667,24.636249998
55,22.95466667,22.919600001000003
56,27.025,26.640000000000004
57,24.8625,24.768749999
58,26.0675,25.978233332000002
59,22.475,22.375766665999997
60,23.55333333,25.823466667
61,23.9175,23.326466665999998
62,27.044,27.134116667
63,23.32416667,23.813166668
64,22.58933333,22.535316667000004
65,24.89166667,25.403916664999993
66,24.49166667,24.392700001
67,20.80533333,20.842333332
68,22.53333333,22.524399998
69,24.4225,25.283833332999997
70,23.1525,23.292333334
71,23.6625,23.705333331
72,23.365,22.408299999
73,25.59166667,25.193233332
74,26.40333333,27.192033333
75,26.75666667,26.918716667000005
76,24.92833333,24.309133335000002
77,26.64083333,27.012350000999998
