,testingvalues,predictedvalues
0,25.43333333,22.956916667
1,25.63083333,24.811666667
2,22.37333333,22.799916665999998
3,26.50666667,26.230583334
4,22.18916667,21.917233331000002
5,22.81083333,22.911916667
6,25.30083333,25.02205
7,26.84,25.091666667000002
8,24.55,23.345000001
9,23.77666667,23.778833334999998
10,23.03466667,22.786133334
11,23.95,23.631549999
12,22.291999999999998,22.303866668
13,23.80333333,23.600500000000004
14,23.24833333,23.750750001999997
15,23.37,22.705499999000004
16,22.20333333,22.436299999
17,23.8625,25.484750002000006
18,22.354,22.386233330999996
19,24.945999999999998,25.359883334000003
20,27.20533333,27.286333335999995
21,23.68166667,23.214750001
22,22.85916667,23.468166665999995
23,21.89666667,21.846066666000002
24,22.62666667,23.462916667000002
25,24.42416667,24.299000003000007
26,22.355999999999998,22.386066669
27,22.268,24.842900000999997
28,25.47083333,25.847350001000002
29,26.8,26.244216665
30,22.15083333,22.597000001000005
31,23.34833333,23.537166664
32,22.976,22.8094
33,25.39333333,25.508383332999998
34,23.75833333,22.963083332000004
35,26.19916667,26.774783335000002
36,23.61666667,24.131583333000002
37,23.29083333,23.358333335000005
38,22.5,22.570866666
39,23.40083333,23.380166669000005
40,22.315,22.411499998999997
41,22.92666667,22.857499997999998
42,23.4775,23.587833334
43,26.47666667,26.572683333999997
44,25.07,25.108583331
45,25.50266667,26.905066666
46,22.45666667,22.799916665999998
47,23.37916667,23.370416669000004
48,26.1325,27.045300000999998
49,23.53166667,23.709083333
50,25.42916667,25.552416665
51,24.83166667,25.2517
52,21.98466667,22.050733332
53,26.34333333,26.765816667000003
54,24.62916667,24.610916664999998
55,22.95466667,23.078133333000004
56,27.025,27.384583333000002
57,24.8625,25.090499998
58,26.0675,25.930583332000005
59,22.475,22.491916663999994
60,23.55333333,25.175133333999998
61,23.9175,23.425483332
62,27.044,26.89705
63,23.32416667,23.526500002
64,22.58933333,22.580066666
65,24.89166667,25.337966665
66,24.49166667,24.386450002000004
67,20.80533333,20.835933335
68,22.53333333,22.7136
69,24.4225,24.462950002000003
70,23.1525,23.206416665999996
71,23.6625,23.553499998
72,23.365,22.346833333
73,25.59166667,25.328250000000004
74,26.40333333,26.932633332000005
75,26.75666667,27.051233335
76,24.92833333,24.612916668
77,26.64083333,27.129766667999995
