,testingvalues,predictedvalues
0,25.43333333,22.716833334
1,25.63083333,24.515816667
2,22.37333333,22.850666666000002
3,26.50666667,26.352616668000003
4,22.18916667,21.679783332
5,22.81083333,22.901833333000003
6,25.30083333,25.417499999
7,26.84,25.517216667
8,24.55,23.546666669
9,23.77666667,23.400916667
10,23.03466667,22.939600002000002
11,23.95,23.512466667
12,22.291999999999998,22.233066667000003
13,23.80333333,23.771749999
14,23.24833333,23.685416668
15,23.37,22.515583332999995
16,22.20333333,22.340716664999995
17,23.8625,25.303966669000005
18,22.354,22.345966665
19,24.945999999999998,24.994799999
20,27.20533333,27.555933336
21,23.68166667,23.256333336
22,22.85916667,23.288416665999996
23,21.89666667,21.814333332
24,22.62666667,23.519616666
25,24.42416667,24.251666667000002
26,22.355999999999998,22.377466667
27,22.268,23.312766665
28,25.47083333,25.995716666
29,26.8,25.967616665999998
30,22.15083333,22.541166668000002
31,23.34833333,23.859749997
32,22.976,22.898200001
33,25.39333333,25.4328
34,23.75833333,22.989333332999998
35,26.19916667,27.109750002999995
36,23.61666667,24.030833331999997
37,23.29083333,23.381583335000002
38,22.5,22.45695
39,23.40083333,23.380166669000005
40,22.315,22.456833333
41,22.92666667,22.848749999
42,23.4775,23.423783333
43,26.47666667,26.549350001
44,25.07,25.052866664
45,25.50266667,27.540399998000005
46,22.45666667,22.850666666000002
47,23.37916667,23.359750002000006
48,26.1325,26.930233333999997
49,23.53166667,23.825333334
50,25.42916667,25.13925
51,24.83166667,24.951216666
52,21.98466667,21.94733333
53,26.34333333,26.708866668000002
54,24.62916667,24.559949999000004
55,22.95466667,22.883999999000004
56,27.025,27.176633335000002
57,24.8625,25.034783331
58,26.0675,26.015666665000005
59,22.475,22.491916663999994
60,23.55333333,25.016016666000006
61,23.9175,24.383049999
62,27.044,27.048333336000002
63,23.32416667,23.583916668
64,22.58933333,22.481766667
65,24.89166667,25.300266666000002
66,24.49166667,24.340366667
67,20.80533333,20.834333333
68,22.53333333,22.804000000000002
69,24.4225,24.119533334000003
70,23.1525,23.229666667
71,23.6625,23.910749998999997
72,23.365,22.44325
73,25.59166667,25.340399999000002
74,26.40333333,27.009816667999996
75,26.75666667,27.133866669000003
76,24.92833333,24.532149999999998
77,26.64083333,27.182116669
